Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
SSBS/M/2021/36,S/36,12/10/2021,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,35.9,0,0,Negative
SSBS/M/2021/55,S/55,19/10/2021,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,37.8,0,0,Negative
SSBS/M/2021/56,S/56,19/10/2021,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
SSBS/M/2021/83,S/83,26/10/2021,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
SSBS/M/2021/84,S/84,26/10/2021,"DP road, Botanical Garden, Aundh",Genepath,36.9,35.4,37,Positive
SSBS/W/2021/107,S/107,11/11/2021,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
SSBS/W/2021/108,S/108,11/11/2021,"DP road, Botanical Garden, Aundh",Genepath,39.4,38.1,38.5,Negative
SSBS/W/2021/124,S/124,16/10/2021,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
SSBS/W/2021/125,S/125,16/10/2021,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
SSBS/W/2021/152,S/152,23/11/2021,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
SSBS/W/2021/153,S/153,23/11/2021,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
SSBS/W/2021/180,S/180,30/11/2021,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
SSBS/W/2021/181,S/181,30/11/2021,"DP road, Botanical Garden, Aundh",Genepath,0,37.7,36.6,Negative
SSBS/W/2021/208,S/208,7/12/2021,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
SSBS/W/2021/209,S/209,7/12/2021,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
SSBS/W/2021/236,S/236,14/12/2021,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
SSBS/W/2021/237,S/237,14/12/2021,"DP road, Botanical Garden, Aundh",Genepath,32,36,35,Positive
SSBS/W/2021/262,S/262,21/12/2021,"DP road, Botanical Garden, Aundh",Genepath,32.32,35.8,35.06,Positive
SSBS/W/2021/265,S/265,21/12/2021,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,27.27,Negative
SSBS/W/2021/286,S/286,24/12/2021,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
SSBS/W/2022/324,S/324,5/1/2022,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
SSBS/W/2022/328,S/328,5/1/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
SSBS/W/2022/346,S/346,11/1/2022,"DP road, Botanical Garden, Aundh",Genepath,28.31,31.38,31.06,Positive
SSBS/W/2022/347,S/347,11/1/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
SSBS/W/2022/375,S/375,18/01/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
SSBS/W/2022/376,S/376,18/01/2022,"DP road, Botanical Garden, Aundh",Genepath,28.4,31.6,30.8,Positive
SSBS/W/2022/402,S/402,25/01/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
SSBS/W/2022/403,S/403,25/01/2022,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
SSBS/W/2022/429,S/429,1/2/2022,"DP road, Botanical Garden, Aundh",Genepath,31.27,37.39,36.92,Positive
SSBS/W/2022/430,S/430,1/2/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,31.28,37.55,36.23,Positive
SSBS/S/2022/458,S/458,8/2/2022,"DP road, Botanical Garden, Aundh",Genepath,37.45,39.87,36.6,Negative
SSBS/S/2022/459,S/459,8/2/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,37.95,38.2,36,Negative
SSBS/S/2022/486,S/486,15/02/2022,"DP road, Botanical Garden, Aundh",Genepath,35.3,37.6,35.6,Positive
SSBS/S/2022/487,S/487,15/02/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,38.6,Negative
SSBS/S/2022/514,S/514,22/02/2022,"DP road, Botanical Garden, Aundh",Genepath,35.52,36.92,33.98,Positive
SSBS/S/2022/515,S/515,22/02/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,36.38,38.58,23.38,Positive
SSBS/S/2022/542,S/542,1/3/2022,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
SSBS/S/2022/545,S/545,1/3/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
SSBS/S/2022/570,S/570,8/3/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,36.28,40,42.11,Negative
SSBS/S/2022/573,S/573,8/3/2022,"DP road, Botanical Garden, Aundh",Genepath,32.18,36.4,0,Positive
SSBS/S/2022/598,S/598,15/03/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,39.66,0,Negative
SSBS/S/2022/601,S/601,15/03/2022,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
SSBS/S/2022/621,S/621,22/03/2022,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,38.6,0,Negative
