Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
SSBS/M/2021/20,S/20,8/10/2021,Rahatni new DP road,Genepath,35.6,0,35.7,Positive
SSBS/M/2021/56,S/56,19/10/2021,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
SSBS/M/2021/70,S/70,22/10/2021,Rahatni new DP road,Genepath,0,37.3,0,Negative
SSBS/M/2021/84,S/84,26/10/2021,"DP road, Botanical Garden, Aundh",Genepath,36.9,35.4,37,Positive
SSBS/W/2021/108,S/108,11/11/2021,"DP road, Botanical Garden, Aundh",Genepath,39.4,38.1,38.5,Negative
SSBS/W/2021/125,S/125,16/10/2021,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
SSBS/W/2021/139,S/139,19/11/2021,Rahatni new DP road,Genepath,37.1,36.57,36.4,Negative
SSBS/W/2021/153,S/153,23/11/2021,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
SSBS/W/2021/167,S/167,26/11/2021,Rahatni new DP road,Genepath,0,0,0,Negative
SSBS/W/2021/181,S/181,30/11/2021,"DP road, Botanical Garden, Aundh",Genepath,0,37.7,36.6,Negative
SSBS/W/2021/195,S/195,4/12/2021,Rahatni new DP road,Genepath,0,38.43,0,Negative
SSBS/W/2021/209,S/209,7/12/2021,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
SSBS/W/2021/223,S/223,10/12/2021,Rahatni new DP road,Genepath,36.9,35.81,0,Positive
SSBS/W/2021/237,S/237,14/12/2021,"DP road, Botanical Garden, Aundh",Genepath,32,36,35,Positive
SSBS/W/2021/251,S/251,17/12/2021,Rahatni new DP road,Genepath,33,37,32,Positive
SSBS/W/2021/262,S/262,21/12/2021,"DP road, Botanical Garden, Aundh",Genepath,32.32,35.8,35.06,Positive
SSBS/W/2021/279,S/279,24/12/2021,Rahatni new DP road,Genepath,0,0,0,Negative
SSBS/W/2021/286,S/286,24/12/2021,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
SSBS/W/2021/306,S/306,31/12/2021,Rahatni new DP road,Genepath,32.2,34.7,33.86,Positive
SSBS/W/2022/324,S/324,5/1/2022,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
SSBS/W/2021/338,S/338,7/1/2022,Rahatni new DP road,Genepath,30.55,32.91,32.07,Positive
SSBS/W/2022/346,S/346,11/1/2022,"DP road, Botanical Garden, Aundh",Genepath,28.31,31.38,31.06,Positive
SSBS/W/2022/362,S/362,15/01/2022,Rahatni new DP road,Genepath,29.3,32,31.5,Positive
SSBS/W/2022/376,S/376,18/01/2022,"DP road, Botanical Garden, Aundh",Genepath,28.4,31.6,30.8,Positive
SSBS/W/2022/403,S/403,25/01/2022,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
SSBS/W/2022/421,S/421,29/01/2022,Rahatni new DP road,Genepath,28.42,33.5,32.42,Positive
SSBS/W/2022/429,S/429,1/2/2022,"DP road, Botanical Garden, Aundh",Genepath,31.27,37.39,36.92,Positive
