Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
SSBS/M/2021/10,S/10,5/10/2021,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/M/2021/35,S/35,12/10/2021,Someshwarwadi,Genepath,0,38.7,0,Negative
SSBS/M/2021/57,S/57,19/10/2021,Someshwarwadi,Genepath,34.4,35.2,37.2,Negative
SSBS/M/2021/85,S/85,26/10/2021,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/W/2021/109,S/109,11/11/2021,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/W/2021/126,S/126,16/10/2021,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/W/2021/154,S/154,23/11/2021,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/W/2021/182,S/182,30/11/2021,Someshwarwadi,Genepath,0,0,37.6,Negative
SSBS/W/2021/211,S/211,7/12/2021,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/W/2021/238,S/238,14/12/2021,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/W/2021/263,S/263,21/12/2021,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/W/2021/287,S/287,24/12/2021,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/W/2022/323,S/323,5/1/2022,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/W/2022/348,S/348,11/1/2022,Someshwarwadi,Genepath,30,33.49,33.46,Positive
SSBS/W/2022/377,S/377,18/01/2022,Someshwarwadi,Genepath,29.4,32.9,32.8,Positive
SSBS/W/2022/404,S/404,25/01/2022,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/W/2022/431,S/431,1/2/2022,Someshwarwadi,Genepath,33.13,38.45,37.11,Negative
SSBS/S/2022/457,S/457,8/2/2022,Someshwarwadi,Genepath,0,38.06,36.86,Negative
SSBS/S/2022/485,S/485,15/02/2022,Someshwarwadi,Genepath,0,37.9,37.2,Negative
SSBS/S/2022/513,S/513,22/02/2022,Someshwarwadi,Genepath,36.87,37.41,33.84,Positive
SSBS/S/2022/541,S/541,1/3/2022,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/S/2022/571,S/571,8/3/2022,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/S/2022/599,S/599,15/03/2022,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/S/2022/622,S/622,22/03/2022,Someshwarwadi,Genepath,0,38.35,0,Negative
SSBS/S/2022/647,S/647,29/03/2022,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/S/2022/678,S/678,5/4/2022,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/S/2022/706,S/706,12/4/2022,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/S/2022/729,S/729,19/04/2022,Someshwarwadi,Genepath,35,32,0,Positive
SSBS/S/2022/757,S/757,26/04/2022,Someshwarwadi,Genepath,0,39.13904722,0,Negative
SSBS/S/2022/785,S/785,4/5/2022,Someshwarwadi,Genepath,0,40.4,0,Negative
SSBS/S/2022/807,S/807,10/5/2022,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/S/2022/835,S/835,17/05/2022,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/S/2022/864,S/864,24/05/2022,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/S/2022/891,S/891,31/05/2022,Someshwarwadi,Genepath,36.01,34,0,Negative
SSBS/S/2022/918,S/918,7/6/2022,Someshwarwadi,Genepath,37.4,0,0,Negative
SSBS/S/2022/945,S/945,14/06/2022,Someshwarwadi,Genepath,38.9,36.9,35.5,Negative
SSBS/S/2022/970,S/970,21/06/2022,Someshwarwadi,Genepath,35,38,36,Negative
SSBS/S/2022/995,S/995,28/06/2022,Someshwarwadi,Genepath,30.5,34.1,33.2,Positive
SSBS/M/2022/1022,S/1022,5/7/2022,Someshwarwadi,Genepath,29.9,34.6,34,Positive
SSBS/M/2022/1049,S/1049,12/7/2022,Someshwarwadi,Genepath,31.1,34.2,33,Positive
SSBS/M/2022/1073,S/1073,19/07/2022,Someshwarwadi,Genepath,0,0,38.8,Negative
SSBS/M/2022/1099,S/1099,26/07/2022,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/M/2022/1125,S/1125,2/8/2022,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/M/2022/1151,S/1151,9/8/2022,Someshwarwadi,Genepath,37.7,0,38.99,Negative
SSBS/M/2022/1166,S/1166,16/08/2022,Someshwarwadi,Genepath,36.69,0,32.98,Negative
SSBS/M/2022/1188,S/1188,23/08/2022,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/M/2022/1211,S/1211,30/08/2022,Someshwarwadi,Genepath,33.68,0,0,Negative
SSBS/M/2022/1230,S/1230,6/9/2022,Someshwarwadi,Genepath,29.27,0,0,Negative
SSBS/M/2022/1249,S/1249,13/09/2022,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/M/2022/1271,S/1271,20/09/2022,Someshwarwadi,Genepath,0,0,0,Negative
SSBS/M/2022/1293,S/1293,27/09/2022,Someshwarwadi,Genepath,0,0,14.94,Negative
