Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
SSBS/M/2021/1,S/1,4/10/2021,Sanjeevan hospital Kothrud,Genepath,0,0,0,Negative
SSBS/M/2021/2,S/2,4/10/2021,Kothrud Bus depot,Genepath,0,0,0,Negative
SSBS/M/2021/3,S/3,4/10/2021,Karve road Kothrud,Genepath,0,0,0,Negative
SSBS/M/2021/29,S/29,11/10/2021,Sanjeevan hospital Kothrud,Genepath,34.6,35.8,35.3,Positive
SSBS/M/2021/30,S/30,11/10/2021,Karve road Kothrud,Genepath,0,34.5,35.7,Positive
SSBS/M/2021/32,S/32,11/10/2021,Kothrud Bus depot,Genepath,32.3,33.5,34.1,Positive
SSBS/M/2021/49,S/49,18/10/2021,Sanjeevan hospital Kothrud,Genepath,0,0,0,Negative
SSBS/M/2021/50,S/50,18/10/2021,Karve road Kothrud,Genepath,0,0,0,Negative
SSBS/M/2021/52,S/52,18/10/2021,Kothrud Bus depot,Genepath,37.2,37.6,0,Negative
SSBS/M/2021/77,S/77,25/10/2021,Sanjeevan hospital Kothrud,Genepath,36.8,34.8,39,Positive
SSBS/M/2021/78,S/78,25/10/2021,Karve road Kothrud,Genepath,0,0,0,Negative
SSBS/M/2021/80,S/80,25/10/2021,Kothrud Bus depot,Genepath,35.8,39.3,0,Negative
SSBS/W/2021/101,S/101,10/11/2021,Sanjeevan hospital Kothrud,Genepath,0,0,0,Negative
SSBS/W/2021/102,S/102,10/11/2021,Karve road Kothrud,Genepath,0,0,0,Negative
SSBS/W/2021/104,S/104,10/11/2021,Kothrud Bus depot,Genepath,0,0,0,Negative
SSBS/W/2021/118,S/118,15/11/2021,Sanjeevan hospital Kothrud,Genepath,39.2,0,0,Negative
SSBS/W/2021/119,S/119,15/11/2021,Karve road Kothrud,Genepath,0,0,0,Negative
SSBS/W/2021/121,S/121,15/11/2021,Kothrud Bus depot,Genepath,39.2,39,37.7,Negative
SSBS/W/2021/146,S/146,22/11/2021,Sanjeevan hospital Kothrud,Genepath,39.4,38.4,0,Negative
SSBS/W/2021/147,S/147,22/11/2021,Karve road Kothrud,Genepath,0,0,0,Negative
SSBS/W/2021/149,S/149,22/11/2021,Kothrud Bus depot,Genepath,0,0,0,Negative
SSBS/W/2021/174,S/174,29/11/2021,Sanjeevan hospital Kothrud,Genepath,0,36.7,35.43,Positive
SSBS/W/2021/175,S/175,29/11/2021,Karve road Kothrud,Genepath,0,0,0,Negative
SSBS/W/2021/177,S/177,29/11/2021,Kothrud Bus depot,Genepath,0,0,0,Negative
SSBS/W/2021/202,S/202,6/12/2021,Sanjeevan hospital Kothrud,Genepath,0,0,0,Negative
SSBS/W/2021/203,S/203,6/12/2021,Karve road Kothrud,Genepath,0,0,0,Negative
SSBS/W/2021/205,S/205,6/12/2021,Kothrud Bus depot,Genepath,0,0,37.8,Negative
SSBS/W/2021/230,S/230,13/12/2021,Sanjeevan hospital Kothrud,Genepath,34,39,36,Positive
SSBS/W/2021/231,S/231,13/12/2021,Karve road Kothrud,Genepath,0,0,0,Negative
SSBS/W/2021/233,S/233,13/12/2021,Kothrud Bus depot,Genepath,0,0,0,Negative
SSBS/W/2021/258,S/258,20/12/2021,Sanjeevan hospital Kothrud,Genepath,34.9,0,36.35,Positive
SSBS/W/2021/259,S/259,20/12/2021,Karve road Kothrud,Genepath,0,0,0,Negative
